Flag,Description,Type,Part,Quantity,UOM,IsVariableQuantity,MinQuantity,MaxQuantity,OptionGroup,OptionGroupPrompt,IsGroupDefault,PriceAdjustment,IsOneTimeItem,IsStage,StageBOMNumber,ConfigurationSortOrder
Item,Add N2S-P-003-S,Raw Good,N2S-P-003-S,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,2
BOM,NANO-1000S Standard-Components,NANO-1000S Standard-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S Standard-Components,Finished Good,NANO-1000S Standard-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-P-004,Raw Good,N1S-P-004,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,21
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-S Labels-Stickers-Parts,NANO-S Labels-Stickers-Parts,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-S Labels-Stickers-Parts,Finished Good,NANO-S Labels-Stickers-Parts,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add SNP,Raw Good,SNP,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,27
Item,Add ST-CDPSBRC-1,Raw Good,ST-CDPSBRC-1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,31
Item,Add ST-DRAIN-1,Raw Good,ST-DRAIN-1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,31
Item,Add ST-FEMTO-1,Raw Good,ST-FEMTO-1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,29
Item,Add ST-ON/OFF-1,Raw Good,ST-ON/OFF-1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,44
Item,Add ST-POWER-1,Raw Good,ST-POWER-1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,44
Item,Add ST-WATER-1,Raw Good,ST-WATER-1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,44
